id,title,brand,part_type,location,quantity,cost,notes,photo
3,11.9 DSi screen,Waveshare,Electronics,Bin 4,1,0.00,Doom Trident,Pd16UnKacqIjeTtId31WOa.Photo.212423.jpg
132,12mm x 400mm rod Inertia Cube,,Motion,Bin 4,2,0.00,Inertia Cube,JMJ9tBNEEkpAuyM45avSDc.Photo.022116.jpg
250,1515 extrusion 200mm,,Misc,Bin 2,4,0.00,Hex zero,KqITG39EDZDteePawSTSms.Photo.235448.jpg
204,180mm frostbite build plate,Biqu,Hardware,Bin 4,2,0.00,,Nw3eKR7nvskdPD1wgULfTz.Photo.002612.jpg
251,2020 extrusion 100mm,,Misc,Bin 2,4,0.00,,vaX5eizgw4njWW4IfKHDH8.Photo.235117.jpg
252,2020 Extrusion 250mm,,Misc,Bin 2,4,0.00,,IBjlshX551jHDulDzqIsBJ.Photo.233909.jpg
253,2020 Extrusion 450mm,,Misc,Bin 2,4,0.00,,tYxcU5OXr4qstPFoderKV0.Photo.233849.jpg
206,2040 extrusion 300mm,,Hardware,Bin 3,2,0.00,,5evWmRQja6mBEhyRbVUR2a.Photo.225710.jpg
176,2510 Fan 24v,GSD Time,Fans,GDS Fans,4,0.00,,xGlwZsFaeTvGDEFkU1OHBL.Photo.000151.jpg
175,2510 Fan 5v,Delta,Fans,GDS Fans,7,0.00,,TTu7HWNrCka4rI3b5TZaYd.Photo.000256.jpg
178,3010 axial 24v,Generic,Fans,Fans,1,0.00,,zP1LohQYiOsu4g4GskHG9y.Photo.030150.jpg
179,3010 axial 24v GDA3010,GSD Time,Fans,GDS Fans,6,0.00,,m0hMtLzH1AJi5ftB1O5Nif.Photo.030240.jpg
177,3010 axial 5v,Generic,Fans,Fans,1,0.00,,Npb8dEawQk0bUiC8Vu6SlG.Photo.031850.jpg
180,3010 blower 24v GDB3010,GSD Time,Fans,GDS Fans,4,0.00,,dQk09AbHl1rnSK4cfxe298.Photo.030935.jpg
4,30kg servo,,Electronics,Bin 2,2,0.00,,85PYhIsxcW7SdTQvJWnqhC.Photo.231226.jpg
205,350mm bed,Fystec,Hardware,,1,0.00,,7Z9Kcs6oseekqgjVQezu7e.Photo.053225.jpg
7,350mm bed heater 1000w,Fystec,Electronics,Bin 3,1,0.00,,8bmgHcXwo4t1PfIJ277bFK.Photo.232213.jpg
248,3d digital spool rack,Ceality,Misc,Bin 3,1,0.00,,UfynMjfenRNbV6gOkyx2o9.Photo.193651.jpg
181,4010 axial 24v,GSD Time,Fans,GDS Fans,1,0.00,,kIX5qHYHBNn9uLXUaBO9LH.Photo.030754.jpg
182,4010 axial 24v,Generic,Fans,Fans,5,0.00,,FCJ6zaj2iwypT4K3AO4uQw.Photo.030636.jpg
183,4010 blower 24v,Generic,Fans,Fans,1,0.00,,FIrpcXUTq7ACseU94csjx8.Photo.031736.jpg
184,4010 blower 24v,Winnsin,Fans,Fans,4,0.00,,uzBQ5uYQq1nL5wXGCyI4GR.Photo.031638.jpg
185,4010 blower 24v GDB4010,GSD Time,Fans,GDS Fans,17,0.00,,4bc99ZZ18EFdr1d3LJSuZ4.Photo.031350.jpg
186,4020 24v axial,Winnsin,Fans,Fans,4,0.00,,FNyUhlRsB5YnuFCGWXUqt9.Photo.163715.jpg
187,4020 axial 5v,Waveshare,Fans,Fans,2,0.00,,e2o4U1PwYvclSgoTIiVqmY.Photo.030545.jpg
188,4020 axial 5v,Noctua,Fans,Fans,1,0.00,,GdLKIAhayTtjxdIcoOQZXQ.Photo.031235.jpg
189,4020 blower 24v,Generic,Fans,Fans,1,0.00,,lCmj6cDJGHZhixGCQb4Efq.Photo.031050.jpg
